1st Auto & Casualty   J1585   Professional Claims 837P
Administration Systems Research Health Benefits   38265   Professional Claims 837P
Administrative Claim Service, Inc.   J1005   Professional Claims 837P
Administrative Concepts Inc.   22384   Professional Claims 837P
Administrative Concepts Inc.   22384   Institutional Claims 837I
Administrative Concepts Inc.   22384   Remits 835
Administrative Services Inc   59141   Professional Claims 837P
Administrative Services Inc   59141   Institutional Claims 837I
Administrative Services Inc   ADMIN-SERVICES   Eligibility 270 / 271
AdminOne   37278   Remits 835
AdminOne   37278   Professional Claims 837P
AdminOne   37278   Institutional Claims 837I
Advance America Cash Advance Centers - CORVEL   J1843   Professional Claims 837P
Advance Services, Inc.   J1608   Professional Claims 837P
Advanced Medical Doctors of CA   AMDC1   Professional Claims 837P
Advanced Medical Doctors of CA   AMDC1   Institutional Claims 837I
Advanced Physicians IPA   NMM01   Professional Claims 837P
Advanced Physicians IPA   NMM01   Institutional Claims 837I
Advanced Physicians IPA   NMM01   Remits 835
Advanstaff, Inc.   74234   Professional Claims 837P
Advantage by Bridgeway Health Solutions   ADVBHS   Eligibility 270 / 271
Advantage Care IPA   ACIPA   Professional Claims 837P
Advantage Care IPA   ACIPA   Institutional Claims 837I
Advantage Health Solutions (Careington)   60601   Dental Claims 837D
Advantage Medical Group   NMM01   Professional Claims 837P
Advantage Medical Group   NMM01   Institutional Claims 837I
Advantage Medical Group   NMM01   Remits 835
Advantek Benefit Administrators (SANTE)   ADVTK   Remits 835
Advantek Benefit Administrators (SANTE)   ADVTK   Professional Claims 837P
Advantek Benefit Administrators (SANTE)   ADVTK   Institutional Claims 837I
Advantica   43168   Dental Claims 837D
Advent Health Medical Corporation   AHMC1   Remits 835
Advent Health Medical Corporation   AHMC1   Professional Claims 837P
Advent Health Medical Corporation   AHMC1   Institutional Claims 837I
ADVENTIST HEALTH CARE NETWORK, INC   MPM51   Professional Claims 837P
ADVENTIST HEALTH CARE NETWORK, INC   MPM51   Institutional Claims 837I
Adventist Health Hanford AHP   MPM36   Professional Claims 837P
Adventist Health Hanford AHP   MPM36   Institutional Claims 837I
Adventist Health Plan   MPM37   Professional Claims 837P
Adventist Health Plan   MPM37   Institutional Claims 837I
Adventist Health System West   95340   Remits 835
Adventist Health System West   95340   Professional Claims 837P
Adventist Health System West   95340   Institutional Claims 837I
Adventist White Memorial - Southland San Gabriel Valley   MPM34   Professional Claims 837P
Adventist White Memorial - Southland San Gabriel Valley   MPM34   Institutional Claims 837I
Advisory Health Administrators   CB159   Professional Claims 837P
Advisory Health Administrators   CB159   Institutional Claims 837I
Advocare MCO, Inc   J1896   Professional Claims 837P
Advocate Health Centers   36320   Professional Claims 837P
Advocate Health Centers   36320   Institutional Claims 837I
Advocate Health Partners   65093   Remits 835
Advocate Health Partners   65093   Professional Claims 837P
Advocate Health Partners   65093   Institutional Claims 837I
Aegis Administrative Services   CB637   Professional Claims 837P
Aegis Administrative Services   CB637   Institutional Claims 837I
Aetna Advantage   60054   Remits 835
Aetna Advantage   60054   Professional Claims 837P
Aetna Advantage   60054   Institutional Claims 837I
Aetna Advantage   60054   Dental Claims 837D
Aetna Affordable Health Choices - SRC/Boone   60054   Remits 835
Aetna Affordable Health Choices - SRC/Boone   60054   Professional Claims 837P
Aetna Affordable Health Choices - SRC/Boone   60054   Institutional Claims 837I
Aetna Affordable Health Choices - SRC/Boone   60054   Dental Claims 837D
Aetna Better Health California   ABH-CA   Eligibility 270 / 271
Aetna Better Health Florida   128FL   Professional Claims 837P
Aetna Better Health Florida   128FL   Institutional Claims 837I
Aetna Better Health Florida   128FL   Remits 835
Aetna Better Health Florida   ABH-FL   Eligibility 270 / 271
Aetna Better Health Illinois   68024   Remits 835
Aetna Better Health Illinois   68024   Professional Claims 837P
Aetna Better Health Illinois   68024   Institutional Claims 837I
Aetna Better Health Illinois   ABH-IL   Eligibility 270 / 271
Aetna Better Health Illinois MMAI   26337   Professional Claims 837P
Aetna Better Health Illinois MMAI   26337   Institutional Claims 837I
Aetna Better Health Illinois MMAI   26337   Remits 835
Aetna Better Health Kansas   128KS   Remits 835
Aetna Better Health Kansas   128KS   Professional Claims 837P
Aetna Better Health Kansas   128KS   Institutional Claims 837I
Aetna Better Health Kansas   ABH-KS   Eligibility 270 / 271
Aetna Better Health Kentucky   128KY   Remits 835
Aetna Better Health Kentucky   128KY   Professional Claims 837P
Aetna Better Health Kentucky   128KY   Institutional Claims 837I
Aetna Better Health Kentucky   ABH-KY   Eligibility 270 / 271
Aetna Better Health Louisiana   128LA   Professional Claims 837P
Aetna Better Health Louisiana   128LA   Institutional Claims 837I
Aetna Better Health Louisiana   128LA   Remits 835
Aetna Better Health Louisiana   ABH-LA   Eligibility 270 / 271
Aetna Better Health Maryland   128MD   Professional Claims 837P
Aetna Better Health Maryland   128MD   Institutional Claims 837I
Aetna Better Health Maryland   128MD   Remits 835
Aetna Better Health Maryland   ABH-MD   Eligibility 270 / 271
Aetna Better Health Michigan   128MI   Professional Claims 837P
Aetna Better Health Michigan   128MI   Institutional Claims 837I
Aetna Better Health Michigan   128MI   Remits 835
Aetna Better Health Michigan   ABH-MI   Eligibility 270 / 271
Aetna Better Health Nevada   ABH-NV   Eligibility 270 / 271
Aetna Better Health New Jersey   46320   Professional Claims 837P
Aetna Better Health New Jersey   46320   Institutional Claims 837I
Aetna Better Health New Jersey   46320   Remits 835
Aetna Better Health New Jersey   ABH-NJ   Eligibility 270 / 271
Aetna Better Health New York   34734   Remits 835
Aetna Better Health New York   34734   Professional Claims 837P
Aetna Better Health New York   34734   Institutional Claims 837I
Aetna Better Health New York   ABH-NY   Eligibility 270 / 271
Aetna Better Health of Oklahoma   128OK   Remits 835
Aetna Better Health Ohio   50023   Remits 835
Aetna Better Health Ohio   50023   Professional Claims 837P
Aetna Better Health Ohio   50023   Institutional Claims 837I
Aetna Better Health Ohio   ABH-OH   Eligibility 270 / 271
Aetna Better Health Oklahoma   128OK   Institutional Claims 837I
Aetna Better Health Oklahoma   128OK   Professional Claims 837P
Aetna Better Health Oklahoma   ABH-OK   Eligibility 270 / 271
Aetna Better Health Pennsylvania   23228   Professional Claims 837P
Aetna Better Health Pennsylvania   23228   Institutional Claims 837I
Aetna Better Health Pennsylvania   23228   Remits 835
Aetna Better Health Pennsylvania   ABH-PA   Eligibility 270 / 271
Aetna Better Health Texas   38692   Professional Claims 837P
Aetna Better Health Texas   38692   Institutional Claims 837I
Aetna Better Health Texas   38692   Remits 835
Aetna Better Health Texas   ABH-TX   Eligibility 270 / 271
Aetna Better Health Texas CHIP   ABH-TX-CHIP   Eligibility 270 / 271
Aetna Better Health Virginia   128VA   Professional Claims 837P
Aetna Better Health Virginia   128VA   Institutional Claims 837I
Aetna Better Health Virginia   128VA   Remits 835
Aetna Better Health Virginia   ABH-VA   Eligibility 270 / 271
Aetna Better Health West Virginia   128WV   Professional Claims 837P
Aetna Better Health West Virginia   128WV   Institutional Claims 837I
Aetna Better Health West Virginia   128WV   Dental Claims 837D
Aetna Better Health West Virginia   128WV   Remits 835
Aetna Better Health West Virginia   ABH-WV   Eligibility 270 / 271
Aetna Choice Plans   60054   Professional Claims 837P
Aetna Choice Plans   60054   Institutional Claims 837I
Aetna Choice Plans   60054   Dental Claims 837D
Aetna Choice Plans   60054   Remits 835
Aetna DMO   68246   Dental Claims 837D
Aetna Employee Assistance Program EAP   EAP20   Professional Claims 837P
Aetna Encounters   60055   Professional Claims 837P
Aetna Health, Inc.   60054   Professional Claims 837P
Aetna Health, Inc.   60054   Institutional Claims 837I
Aetna Health, Inc.   60054   Dental Claims 837D
Aetna Health, Inc.   60054   Remits 835
Aetna Healthcare   00002   Claim Status 276 / 277
Aetna Healthcare   60054   Professional Claims 837P
Aetna Healthcare   60054   Institutional Claims 837I
Aetna Healthcare   60054   Dental Claims 837D
Aetna Healthcare   60054   Remits 835
Aetna Healthcare   60054   Eligibility 270 / 271
Aetna HealthFund   60054   Professional Claims 837P
Aetna HealthFund   60054   Institutional Claims 837I
Aetna HealthFund   60054   Dental Claims 837D
Aetna HealthFund   60054   Remits 835
Aetna Life & Casualty Company   60054   Professional Claims 837P
Aetna Life & Casualty Company   60054   Institutional Claims 837I
Aetna Life & Casualty Company   60054   Dental Claims 837D
Aetna Life & Casualty Company   60054   Remits 835
Aetna Life Insurance Company   60054   Professional Claims 837P
Aetna Life Insurance Company   60054   Institutional Claims 837I
Aetna Life Insurance Company   60054   Dental Claims 837D
Aetna Life Insurance Company   60054   Remits 835
Aetna Long Term Care   AETNA-LTC   Eligibility 270 / 271
Aetna Medicaid Plans   60054   Professional Claims 837P
Aetna Medicaid Plans   60054   Institutional Claims 837I
Aetna Medicaid Plans   60054   Dental Claims 837D
Aetna Medicaid Plans   60054   Remits 835
Aetna Medicare   60054   Professional Claims 837P
Aetna Medicare   60054   Institutional Claims 837I
Aetna Medicare   60054   Dental Claims 837D
Aetna Medicare   60054   Remits 835
Aetna Retiree Medical Plan - Administrator   AETNA-RETIREE   Eligibility 270 / 271
Aetna Senior Plans   60054   Professional Claims 837P
Aetna Senior Plans   60054   Institutional Claims 837I
Aetna Senior Plans   60054   Remits 835
Aetna Senior Plans   60054   Dental Claims 837D
Aetna Senior Supplemental   62118   Remits 835
Aetna Signature Administrators (ASA)   60054   Professional Claims 837P
Aetna Signature Administrators (ASA)   60054   Institutional Claims 837I
Aetna Signature Administrators (ASA)   60054   Dental Claims 837D
Aetna Signature Administrators (ASA)   60054   Remits 835
Aetna Student Health   60054   Professional Claims 837P
Aetna Student Health   60054   Dental Claims 837D
Aetna Student Health   60054   Remits 835
Aetna Student Health   60054   Institutional Claims 837I
Aetna TX Medicaid and CHIP   38692   Professional Claims 837P
Aetna TX Medicaid and CHIP   38692   Institutional Claims 837I
Aetna TX Medicaid and CHIP   38692   Remits 835
Aetna US Healthcare - AUSHC   60054   Professional Claims 837P
Aetna US Healthcare - AUSHC   60054   Institutional Claims 837I
Aetna US Healthcare - AUSHC   60054   Dental Claims 837D
Aetna US Healthcare - AUSHC   60054   Remits 835
Aetna US Healthcare - AUSHC   AETNA-USHC   Eligibility 270 / 271
Affiliated Doctor's of Orange County (ADOC) (Regal)   ADOCS   Professional Claims 837P
Affiliated Doctor's of Orange County (ADOC) (Regal)   ADOCS   Institutional Claims 837I
Affiliated Partners IPA   POP09   Professional Claims 837P
Affiliated Partners IPA SCAN/CleverCare HP Only   APIPA   Professional Claims 837P
Affiliated Partners IPA SCAN/CleverCare HP Only   APIPA   Institutional Claims 837I
Affiliated Physicians IPA   POP06   Professional Claims 837P
Affinity Health Plan   13334   Remits 835
Affinity Health Plan   13334   Professional Claims 837P
Affinity Health Plan   13334   Institutional Claims 837I
Affinity Medical Group   46594   Professional Claims 837P
Affinity Medical Group   46594   Institutional Claims 837I
Aflac Benefits Solutions   ABS01   Dental Claims 837D
Aflac Dental   AFLACD   Eligibility 270 / 271
Aflac Medicare Supplement   AFLAC-MEDSUPP   Eligibility 270 / 271
AFTRA Health & Retirement Funds   62308   Professional Claims 837P
AFTRA Health & Retirement Funds   62308   Institutional Claims 837I
AFTRA Health & Retirement Funds   62308   Dental Claims 837D
Aftra Health Fund   10015   Eligibility 270 / 271
Agency Services Inc.   64158   Remits 835
Agency Services Inc.   64158   Professional Claims 837P
Agency Services Inc.   64158   Institutional Claims 837I
AgeRight Advantage   ARA01   Remits 835
AgeRight Advantage   ARA01   Institutional Claims 837I
AgeRight Advantage   ARA01   Professional Claims 837P
AGIA, Inc.   AGIAI   Eligibility 270 / 271
AHF PHC California Medi-Cal   95422   Remits 835
AHF PHC California Medi-Cal   95422   Dental Claims 837D
AHF PHC California Medi-Cal   95422   Professional Claims 837P
AHF PHC California Medi-Cal   95422   Institutional Claims 837I
AHF Ryan White Grants   95433   Dental Claims 837D
AHF Ryan White Grants   95433   Remits 835
AHF Ryan White Grants   95433   Professional Claims 837P
AHF Ryan White Grants   95433   Institutional Claims 837I
AHP Provider Network   MPM38   Institutional Claims 837I
AHP Provider Network   MPM38   Professional Claims 837P
AHRMA (IL only) - CORVEL   J3958   Professional Claims 837P
AIG   19402   Professional Claims 837P
Aither Health   64884   Institutional Claims 837I
Aither Health   64884   Professional Claims 837P
AKM Medical Group   CAPMN   Professional Claims 837P
AKM Medical Group   CAPMN   Institutional Claims 837I
AKM Medical Group   CAPMN   Remits 835
AL-MED HCLA   MPM28   Professional Claims 837P
AL-MED HCLA   MPM28   Institutional Claims 837I
Alameda Alliance for Health   95327   Remits 835
Alameda Alliance for Health   95327   Professional Claims 837P
Alameda Alliance for Health   95327   Institutional Claims 837I
Alamitos IPA    CAPMN   Professional Claims 837P
Alamitos IPA    CAPMN   Institutional Claims 837I
Alamitos IPA    CAPMN   Remits 835
Alarm Contractors   J3859   Professional Claims 837P
Alaska Children''s Services, Inc. Group #P68   91136   Professional Claims 837P
Alaska Children''s Services, Inc. Group #P68   91136   Institutional Claims 837I
Alaska Electrical Health & Welfare Fund   60054   Professional Claims 837P
Alaska Electrical Health & Welfare Fund   60054   Dental Claims 837D
Alaska Electrical Health & Welfare Fund   60054   Institutional Claims 837I
Alaska Laborers Construction Industry Trust Group # F23   91136   Institutional Claims 837I
Alaska Laborers Construction Industry Trust Group # F23   91136   Professional Claims 837P
Alaska National Insurance   J1577   Professional Claims 837P
Alaska Pipe Trades Local 375 Group # F24   91136   Professional Claims 837P
Alaska Pipe Trades Local 375 Group # F24   91136   Institutional Claims 837I
Alaska UFCW Health & Welfare Trust Group # F45   91136   Professional Claims 837P
Alaska UFCW Health & Welfare Trust Group # F45   91136   Institutional Claims 837I
Albuquerque Public Schools   85600   Institutional Claims 837I
Albuquerque Public Schools   85600   Professional Claims 837P
Albuquerque Public Schools   85600   Remits 835
Albuquerque Public Schools   APS   Eligibility 270 / 271
Alcoa Fasteners Systems   J1244   Professional Claims 837P
Alexian Pace   R3471   Remits 835
Alexian Pace   R3471   Institutional Claims 837I
Alexian Pace   R3471   Professional Claims 837P
ALICARE   13550   Professional Claims 837P
ALICARE   13550   Institutional Claims 837I
ALICARE   13550   Remits 835
Align Senior Care (FL)   ASFL1   Remits 835
Align Senior Care (FL)   ASFL1   Professional Claims 837P
Align Senior Care (FL)   ASFL1   Institutional Claims 837I
Align Senior Care (MI)   ASMI1   Professional Claims 837P
Align Senior Care (MI)   ASMI1   Institutional Claims 837I
Align Senior Care (VA)   ASVA1   Institutional Claims 837I
Align Senior Care (VA)   ASVA1   Professional Claims 837P
Align Senior Care CA   ASCA1   Remits 835
Align Senior Care CA   ASCA1   Institutional Claims 837I
Align Senior Care CA   ASCA1   Professional Claims 837P
Aligned Community Physicians   ACP17   Institutional Claims 837I
Aligned Community Physicians   ACP17   Professional Claims 837P
Alignis   58213   Professional Claims 837P
Alignment Health   ALIGN   Eligibility 270 / 271
Alignment Health Care (Fee For Service)   CCHPC   Remits 835
Alignment Health Care (Fee For Service)   CCHPC   Professional Claims 837P
Alignment Health Care (Fee For Service)   CCHPC   Institutional Claims 837I
Alignment Health Plan (Fee For Service)   CCHPC   Professional Claims 837P
Alignment Health Plan (Fee For Service)   CCHPC   Institutional Claims 837I
Alignment Health Plan (Fee For Service)   CCHPC   Remits 835
Alivi Health   ALIVI   Professional Claims 837P
Alivi Therapy Network   ATNET   Professional Claims 837P
ALL American Medical Group   AAMG1   Professional Claims 837P
ALL American Medical Group   AAMG1   Institutional Claims 837I
ALL American Medical Group   AAMG1   Remits 835
All Care Medical Group   ALLCA   Professional Claims 837P
All Care Medical Group   ALLCA   Institutional Claims 837I
All Care Medical Group   ALLCA   Remits 835
All United Medical Group   AUMG1   Professional Claims 837P
All United Medical Group   AUMG1   Institutional Claims 837I
All United Medical Group   AUMG1   Remits 835
All United Medical Group Clever Care HP Only   AUMG2   Institutional Claims 837I
All United Medical Group Clever Care HP Only   AUMG2   Professional Claims 837P
AllCare CCO Dental   ALLCD   Dental Claims 837D
AllCare IPA   AC101   Remits 835
AllCare IPA   AC101   Professional Claims 837P
AllCare PACE   ACPCE   Professional Claims 837P
AllCare PACE   ACPCE   Institutional Claims 837I
AllCare PEBB   26158   Professional Claims 837P
AllCare PEBB   26158   Institutional Claims 837I
Allegeant   52193   Remits 835
Allegiance Benefit Plan Management Inc.   81040   Professional Claims 837P
Allegiance Benefit Plan Management Inc.   81040   Institutional Claims 837I
Allegiance Benefit Plan Management Inc.   81040   Remits 835
Allegiance Benefit Plan Management Inc.   ABPM   Eligibility 270 / 271
Allen Canning   J1740   Professional Claims 837P
Alliance Behavioral Health   23071   Professional Claims 837P
Alliance Behavioral Health   23071   Institutional Claims 837I
Alliance Behavioral Health   23071   Remits 835
Alliance Coal Health Plan   93658   Professional Claims 837P
Alliance Coal Health Plan   93658   Institutional Claims 837I
Alliance Coal Health Plan   ALLIANCE-COAL   Eligibility 270 / 271
Alliance Health Systems   CAPMN   Professional Claims 837P
Alliance Health Systems   CAPMN   Institutional Claims 837I
Alliance Health Systems   CAPMN   Remits 835
Alliance Physicians High Desert   22417   Professional Claims 837P
Alliance Physicians High Desert   22417   Institutional Claims 837I
Alliance Physicians High Desert   22417   Remits 835
Alliance Physicians Medical Group   APP01   Institutional Claims 837I
Alliance Physicians Medical Group   APP01   Remits 835
Alliance Physicians Medical Group   APP01   Professional Claims 837P
Alliant Energy   J1619   Professional Claims 837P
Alliant Health Plans of Georgia   58234   Remits 835
Alliant Health Plans of Georgia   58234   Professional Claims 837P
Alliant Health Plans of Georgia   58234   Institutional Claims 837I
Allianz    J1452   Professional Claims 837P
Allianz Resolution Management (ARM)    J2326   Professional Claims 837P
Allied Benefit Systems, Inc.   37308   Remits 835
Allied Benefit Systems, Inc.   37308   Professional Claims 837P
Allied Benefit Systems, Inc.   37308   Institutional Claims 837I
Allied Benefit Systems, Inc.   ABSYS   Eligibility 270 / 271
Allied Claims Administration, Inc.   J1733   Professional Claims 837P
Allied Healthcare   AllCA   Professional Claims 837P
Allied Healthcare   AllCA   Institutional Claims 837I
Allied Pacific of California   NMM01   Professional Claims 837P
Allied Pacific of California   NMM01   Institutional Claims 837I
Allied Pacific of California   NMM01   Remits 835
Allied Physicians Medical Group   NMM01   Institutional Claims 837I
Allied Physicians Medical Group   NMM01   Remits 835
Allied Physicians Medical Group   NMM01   Professional Claims 837P
Allied Property and Casualty Ins Co   J1550   Professional Claims 837P
Allina Health Aetna   54398   Professional Claims 837P
Allina Health Aetna   54398   Institutional Claims 837I
Allina Health Aetna   ALLINA   Eligibility 270 / 271
Allmerica Financial Benefits Insurance Company   J1589   Professional Claims 837P
​Allstate - NJ Only   C1089   Professional Claims 837P
Allstate Insurance   C1037   Professional Claims 837P
Aloha Care   99030   Professional Claims 837P
Aloha Care   99030   Remits 835
Aloha Care   99030   Institutional Claims 837I
Aloha Care   ALOHA   Eligibility 270 / 271
Alpha Care Medical Group NMM   NMM04   Professional Claims 837P
Alpha Care Medical Group NMM   NMM04   Remits 835
Alpha Care Medical Group NMM   NMM04   Institutional Claims 837I
Alta Bates Medical Group   A0701   Professional Claims 837P
Alta Bates Medical Group   A0701   Institutional Claims 837I
ALTA Health & Life Insurance   62308   Institutional Claims 837I
ALTA Health & Life Insurance   62308   Dental Claims 837D
ALTA Health & Life Insurance   62308   Professional Claims 837P
Altais Care Network   ACN01   Professional Claims 837P
AltaMed   ALTAM   Institutional Claims 837I
AltaMed   ALTAM   Dental Claims 837D
AltaMed   ALTAM   Remits 835
AltaMed   ALTAM   Professional Claims 837P
Alternative Insurance Resources   IHS06   Professional Claims 837P
Alternative Insurance Resources   IHS06   Institutional Claims 837I
Alternative Insurance Resources, Inc.   ALT-INS-RESOURSE   Eligibility 270 / 271
Alternative Opportunities   16089   Professional Claims 837P
Alternative Opportunities   16089   Institutional Claims 837I
Alterwood Advantage   RP016   Institutional Claims 837I
Alterwood Advantage   RP016   Professional Claims 837P
Altus Dental   50503   Dental Claims 837D
Alvey Systems (AON Risk)   J1025   Professional Claims 837P
AMA Insurance   THO71   Remits 835
Amada Health   AMDA1   Institutional Claims 837I
Amada Health   AMDA1   Remits 835
Amada Health   AMDA1   Professional Claims 837P
Amada Health South   AMDA2   Remits 835
Amada Health South   AMDA2   Institutional Claims 837I
Amada Health South   AMDA2   Professional Claims 837P
Amalgamated Insurance Company   13550   Institutional Claims 837I
Amalgamated Insurance Company   13550   Remits 835
Amalgamated Insurance Company   13550   Professional Claims 837P
Amalgamated Life   13550   Professional Claims 837P
Amalgamated Life   13550   Remits 835
Amalgamated Life   13550   Institutional Claims 837I
AMBETTER (Centene)   AMBETTER   Eligibility 270 / 271
Ambetter from Meridian   68069   Institutional Claims 837I
Ambetter from Meridian   68069   Professional Claims 837P
Ambetter from Meridian   68069   Remits 835
Ambetter of Arkansas (Centene)   68069   Institutional Claims 837I
Ambetter of Arkansas (Centene)   68069   Remits 835
Ambetter of Arkansas (Centene)   68069   Professional Claims 837P
Ambetter of Missouri (Centene)   68069   Professional Claims 837P
Ambetter of Missouri (Centene)   68069   Institutional Claims 837I
Ambetter of Missouri (Centene)   68069   Remits 835
Ambetter of New Hampshire (Centene)   68069   Professional Claims 837P
Ambetter of New Hampshire (Centene)   68069   Institutional Claims 837I
Ambetter of New Hampshire (Centene)   68069   Remits 835
Ambetter of Tennessee (Centene)   68069   Remits 835
Ambetter of Tennessee (Centene)   68069   Professional Claims 837P
Ambetter of Tennessee (Centene)   68069   Institutional Claims 837I
AMCO Ins Co   J1550   Professional Claims 837P
